Symbol,ETF Name,Asset Class,Total Assets ($MM),YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Label
BLOK,Amplify Transformational Data Sharing ETF,Equity,339.9,0.792,156134,33.6,-0.0207,Blockchain
BLCN,Reality Shares Nasdaq NexGen Economy ETF,Equity,183.3,0.5593,70842,39.57,-0.0035,Blockchain
LEGR,First Trust Indxx Innovative Transaction & Process ETF,Equity,53.52,0.1673,7405,36.98,-0.0024,Blockchain
GFIN,Goldman Sachs Finance Reimagined ETF,Equity,50.45,0.1394,7153,67.11,0.0021,Blockchain
KOIN,Innovation Shares NextGen Protocol ETF,Equity,19.36,0.3047,9558,37,-0.0013,Blockchain
QQQ,Invesco QQQ,Equity,149662,0.4664,37415434,309.56,,AI
VGT,Vanguard Information Technology ETF,Equity,41058.4,0.4567,578957,352.88,,AI
XLK,Technology Select Sector SPDR Fund,Equity,37406,0.4255,8403583,129.06,,AI
FDN,First Trust Dow Jones Internet Index,Equity,11302.1,0.5543,387315,216.24,,AI
IYW,iShares U.S. Technology ETF,Equity,6739.49,0.4746,427755,85.18,,AI
FTEC,Fidelity MSCI Information Technology Index ETF,Equity,5204.05,0.4545,306289,104.24,,AI
IXN,iShares Global Tech ETF,Equity,4892.41,0.4204,76708,296.75,,AI
IGM,iShares Expanded Tech Sector ETF,Equity,3151.78,0.4411,42511,347.44,,AI
XT,iShares Exponential Technologies ETF,Equity,3074.42,0.3396,201146,56.77,,AI
BOTZ,Global X Robotics & Artificial Intelligence Thematic ETF,Equity,2345.82,0.511,1039748,32.96,,AI
KOMP,SPDR S&P Kensho New Economies Composite ETF,Equity,1817.34,0.6166,152778,57.78,,AI
ROBO,ROBO Global Robotics and Automation Index ETF,Equity,1680.67,0.444,144218,60.65,,AI
ARKQ,ARK Industrial Innovation ETF,Equity,1642.4,1.0641,405978,76.66,,AI
QYLD,Global X NASDAQ 100 Covered Call ETF,Equity,1607.51,0.0782,609597,22.84,,AI
PNQI,Invesco NASDAQ Internet ETF,Equity,1024.7,0.6161,23386,228.55,,AI
SKYY,First Trust ISE Cloud Computing Index Fund,Technology,6244.62,0.6075,366851,96.87,-0.0057,Software
IGV,iShares Expanded Tech-Software Sector ET,Technology,6070.7,0.5557,787071,360.38,0.0005,Software
HACK,ETFMG Prime Cyber Security ETF,Technology,2033.57,0.4349,222475,58.37,-0.0031,Software
CLOU,Global X Cloud Computing ETF,Technology,1587.52,0.8169,1371689,28.61,-0.0059,Software
WCLD,WisdomTree Cloud Computing Fund,Technology,1301.71,1.1918,468508,56,-0.0027,Software
SOXX,iShares PHLX Semiconductor ETF,Technology,4843.46,0.5028,509392,373.12,0.0089,Semiconductor
