Symbol,ETF Name,Asset Class,Total Assets ($MM),YTD Price Change,Avg. Daily Share Volume (3mo),Previous Closing Price,ETF Database Pro
SPY,SPDR S&P 500 ETF Trust,Equity,379793,0.0649,79515648,407.26,
IVV,iShares Core S&P 500 ETF,Equity,312619,0.0649,4171203,409.14,
VTI,Vanguard Total Stock Market ETF,Equity,287337,0.0727,3690156,205.08,
VOO,Vanguard S&P 500 ETF,Equity,285672,0.0651,3914248,374.22,
QQQ,Invesco QQQ Trust,Equity,164793,0.131,50426152,301.16,
VEA,Vanguard FTSE Developed Markets ETF,Equity,108797,0.0786,12763782,45.27,
VTV,Vanguard Value ETF,Equity,105601,0.0216,2556235,143.4,
IEFA,iShares Core MSCI EAFE ETF,Equity,95902,0.0797,11379469,66.55,
BND,Vanguard Total Bond Market ETF,Bond,87245,0.0121,6222622,72.54,
AGG,iShares Core U.S. Aggregate Bond ETF,Bond,85634,0.0129,7919379,98,
VUG,Vanguard Growth ETF,Equity,79493,0.1182,1420359,238.31,
IJR,iShares Core S&P Small-Cap ETF,Equity,73183,0.1105,3699179,105.1,
VWO,Vanguard FTSE Emerging Markets ETF,Equity,72931,0.0444,12719574,40.71,
IJH,iShares Core S&P Mid-Cap ETF,Equity,70882,0.0994,1046714,265.94,
IEMG,iShares Core MSCI Emerging Markets ETF,Equity,70426,0.0503,15658257,49.05,
VIG,Vanguard Dividend Appreciation ETF,Equity,66305,0.0275,1638814,156.03,
IWF,iShares Russell 1000 Growth ETF,Equity,62429,0.0983,2523029,235.31,
IWM,iShares Russell 2000 ETF,Equity,56767,0.1077,21990563,193.13,
VO,Vanguard Mid-Cap ETF,Equity,55404,0.0822,652324,220.56,
VXUS,Vanguard Total International Stock ETF,Equity,54612,0.0683,3599600,55.25,
GLD,SPDR Gold Shares,Commodity,54219,0.0095,5435724,171.26,
IWD,iShares Russell 1000 Value ETF,Equity,53759,0.0433,2706924,158.21,
VYM,Vanguard High Dividend Yield Index ETF,Equity,50833,0.0144,2006529,109.77,
EFA,iShares MSCI EAFE ETF,Equity,48391,0.082,20238682,71.02,
SCHD,Schwab US Dividend Equity ETF,Equity,48024,0.0181,3357178,76.91,
BNDX,Vanguard Total International Bond ETF,Bond,47175,0.0175,3333938,48.2,
VB,Vanguard Small Cap ETF,Equity,46309,0.1046,650298,202.74,
VGT,Vanguard Information Technology ETF,Equity,45150,0.1287,710157,360.52,
XLK,Technology Select Sector SPDR Fund,Equity,42678,0.1236,6555535,139.82,
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Equity,41691,0.0731,1778951,91,
XLE,Energy Select Sector SPDR Fund,Equity,41091,-0.0341,19621535,84.49,
VCSH,Vanguard Short-Term Corporate Bond ETF,Bond,40953,0.0074,5647435,75.58,
XLV,Health Care Select Sector SPDR Fund,Equity,40608,-0.0284,7334638,131.99,
